As of 3/26,without further sub-cat 7&9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POMHQIIS,IMCOM-Training,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,POM,Benning,,,,,,,,,,,,,
9,66,66,858906,129960,192,6775.5,13013.72727,13013.72727,0.078384798,0.112627986,,,9,0.078384798,,,,,,,,,,Polk,2,4,12,1
10,5,5,93820,53118,2146,5716,18764,18764,0.005938242,0.008532423,,,10,0.005938242,,,,,,,,,,,,,,
11,55,55,178603,41653,36,1787,3247.327273,3247.327273,0.065320665,0.093856655,,,11,0.065320665,,,,,,,,,,,,,,
12,89,58,166905,46055,1,297,2877.672414,2877.672414,0.105700713,0.098976109,,,12,0.105700713,,,,,,,,,,,,,,
18,44,27,24475,3040,1,800,906.4814815,906.4814815,0.052256532,0.046075085,,,18,0.052256532,,,,,,,,,,,,,,
19,0,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0,0,,,19,0,,,,,,,,,,,,,,
20,2,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.002375297,0,,,20,0.002375297,,,,,,,,,,,,,,
21,206,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.244655582,0,,,21,0.244655582,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlissHQIIS,IMCOM-Readiness,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,Bliss,Bragg,Irwin,Polk,,,,,,,,,,,
1,210,210,2579700.5,127115,64,4711.5,12284.2881,12284.2881,0.026985351,0.036861506,,,1,0.026985351,0.041588986,0.041139241,0.033631595,,,,,,,,,,,
2,2859,2859,7783676.8,12400,956,2400,2722.517244,2722.517244,0.367386276,0.501843075,,,2,0.367386276,0.463502079,0.373869801,0.406973156,,,,,,,,,,,
3,12,12,325378,89131,1921,23145,27114.83333,27114.83333,0.00154202,0.002106372,,,3,0.00154202,0.002724796,0.003616637,0.003085467,,,,,,,,,,,
4,242,242,5824325,139998,576,17147,24067.45868,24067.45868,0.031097404,0.042478497,,,4,0.031097404,0.019934031,0.033905967,0.016661524,,,,,,,,,,,
5,238,238,2082794.48,111472,0,2936.5,8751.237311,8751.237311,0.030583398,0.041776374,,,5,0.030583398,0.032984368,0.044755877,0.060475162,,,,,,,,,,,
6,23,23,249860,30624,850,4752,10863.47826,10863.47826,0.002955538,0.004037213,,,6,0.002955538,0.004445719,0.004068716,0.003702561,,,,,,,,,,,
7,64,64,428849,78775,43,1935.5,6700.765625,6700.765625,0.008224107,0.011233983,,,7,0.008224107,0.013910799,0.017631103,0.011107683,,,,,,,,,,,
8,22,22,1295677,667390,2900,7084.5,58894.40909,58894.40909,0.002827037,0.003861682,,,8,0.002827037,0.004015488,0.003616637,0.004319654,,,,,,,,,,,
9,204,203,2095331,112110,43,3389,10321.82759,10321.82759,0.026214341,0.035632789,,,9,0.026214341,0.04345332,0.0420434,0.037334156,,,,,,,,,,,
10,336,336,1697723.23,208537,36,800,5052.747708,5052.747708,0.043176561,0.05897841,,,10,0.043176561,0.046178116,0.028481013,0.053687134,,,,,,,,,,,
11,372,371,1835248.02,59242,15,1671,4946.760162,4946.760162,0.047802621,0.065121994,,,11,0.047802621,0.060805966,0.040235081,0.05399568,,,,,,,,,,,
12,1207,1033,5525650.1,180000,16,416,5349.128848,5349.128848,0.155101516,0.181323504,,,12,0.155101516,0.124049907,0.183996383,0.082690528,,,,,,,,,,,
18,328,61,54633,5400,72,784,895.6229508,895.6229508,0.042148548,0.01070739,,,18,0.042148548,0.048042449,0.061482821,0.057081148,,,,,,,,,,,
19,17,17,512241,241213,560,768,30131.82353,30131.82353,0.002184528,0.002984027,,,19,0.002184528,0.001720924,0,0.00092564,,,,,,,,,,,
20,118,6,1369640,871200,21760,43560,228273.3333,228273.3333,0.015163197,0.001053186,,,20,0.015163197,0.02896888,0.023508137,0.048441839,,,,,,,,,,,
21,1530,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.196607556,0,,,21,0.196607556,0.063674172,0.097649186,0.125887072,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BraggHQIIS,IMCOM-Readiness,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,,,,,,,,,,,,,,,
1,290,290,3142462,263020,36,4811.5,10836.07586,10836.07586,0.041588986,0.048854447,,,,,,,,,,,,,,,,,,
